#Database	Source	Version from Source	Short Description of Database Value
Human miRNA Disease Database	HMDD	2012-09	
VISTA enhancer coordinates	VISTA	2013-01-22	
Encode Mapability 	UCSC	January 2010	
Duke/Encode Uniqueness	UCSC	Release 3 (October 2011)	
SomamiR	SomamiR database	Jan 2013 download	
Targets of SomamiR	SomamiR	Jan 2013 download	
Encode Excludable Regions	UCSC	Jan 2013 download	Regions of the genome that may be problematic to map due to repeats, from UCSC wgEncodeDukeMapabilityRegionsExcludable
dbSNP v137	dbSNP	137	
Post Translational Modifications from PhosphoSitePlus and Phosida	PhosphoSitePlus and Phosida	v2.0 4/12/13 /IPI 3.24	Post translational modifications from PhosphoSitePlus and Phosida
Encode Uniform Peak TFBS	UCSC	Mar2012	Transcription factor binding sites, Gene, and ChIP Seq Score using data from UCSC
Self Chain	UCSC	hg19	Scores from the alignments of human chromosome vs itself downloaded from UCSC
Encode Methylation by RRBS	UCSC	Mar2012	Encodes score for Methylation for CpG Islands, downloaded from UCSC Mar2012
Polyphen 2 Predictions and Scores (Human Var)	ANNOVAR	June 2013	
Polyphen 2 Predictions and Scores (Human Div)	ANNOVAR	June 2013	
NCI-60 human tumor cell line panel exome sequencing allele frequency data 	ANNOVAR	July 2013	Allele Frequencies for NCI-60 human tumor cell line panel, using ANNOVAR's nci60
Fathmm Scores	download from ANNOVAR	June 2013	
SiPhy Scores	download from ANNOVAR	July 2013	
COSMIC v67	COSMIC	v67 11/12/13	this had errors from source
NHLBI Exon Sequencing Allele Frequencies (All)	ANNOVAR	2013Jan22 	Allele Frequencies from NHLBI's Exon Sequencing Project using ANNOVAR's ESP6500si_all 
Database of Genomic Variants	DGV	2013-07-23	Database of Genomic Variants (DGV) ID, type and Pubmed source using DGV
Function based Prioritization of Sequence Variants (FunSeq)	Gerstein Lab	v1.0	Prioritization score for non-coding and coding variants based on several factors generated from FunSeq application
ClinVar	ANNOVAR	20140702	Clinical significance (SIG) of variant from ClinVar
COSMIC v68	COSMIC	downloaded Feb 3, 2014	COSMIC Id, gene and protein position and change
SIFT	ANNOVAR	downloaded 20140222 	SIFT scores and Predictions where higher values are deleterious
Polyphen2 Predictions and Scores  v2.3 (Human Var) 	ANNOVAR	20140222	Prediction and score for Polyphen2, a predictive algorithm for nonsynonymous SNPs using the Human Var database
Polyphen2 Predictions and Scores  v2.3 (Human Div)	ANNOVAR	20140222	Prediction and score for Polyphen2, a predictive algorithm for nonsynonymous SNPs using the Human Div database
Fantom5 CAGE peaks	FANTOM5	v5	FANTOM5 CAGE Peaks locations 
FANTOM5 Enhancers	FANTOM5	v5 downloaded 3/28/14	FANTOM5 Enhancers locations
FANTOM5 Transcription Start Site Prediction	FANTOM5	v5 downloaded 3/28/14	FANTOM5 Transcript Start Site locations
dbSNP v138	download from ANNOVAR	20131213	NCBI's dbSNP ID: allele frequency (het frequency) from ANNOVAR's snp138
Provean Predictions and Scores	JCVI	v1.1	Score and Prediction from Provean, an algorithm that predicts the impact of a mutation on the biological function of a protein from JCVI v1.1
Summary	AVIA	v2.0	Summary of annotations: D=Damaging in &gt;= protein algorithms,C=COSMIC variant ,F=Funseq score &gt; 2, O=OMIM gene,  P=in a PTM site,V=ClinVar with pathogenic significance
Mutation Assessor	download ANNOVAR	20140925	Prediction and Score from Mutation Assessor, an algorithm that assesses the functional impact in proteins, from ANNOVAR's ljb26_ma
ANNOVAR annot	AVIA	v2.0	annotation based on gene annotations
Annot Feat	AVIA	v2.0	Annotations, if coding, then it reports transcript and protein annotation, if intronic or UTR, distance from nearest feature, and if intergenic, reports nearest gene
Gene	AVIA	v2.0	Gene or nearest gene, if intergenic; may also display intronic splice variants
ProtPos	AVIA	v2.0	Transcript and Protein Amino Acid Change and  Positions
Zygosity	User Data		Zygosity extracted from user data, if multiple samples, then only first is reported
Mutation Taster	download from ANNOVAR	20140925	Prediction and Score from Mutation Taster, an algorithm that calculates disease causing potential of sequence alterations, from ANNOVAR's database using ljb26_mt
Polyphen2 Predictions and Scores  (Human Div)	ANNOVAR	20140925	Prediction and score for Polyphen2, a predictive algorithm for nonsynonymous SNPs using the Human Div database, using ANNOVAR's ljb26_pp2hdiv
Polyphen2 Predictions and Scores  (Human Var) 	ANNOVAR	20140925	Prediction and score for Polyphen2, a predictive algorithm for nonsynonymous SNPs using the Human Var database, using ANNOVAR's ljb26_pp2hvar
SIFT	ANNOVAR	20140925	SIFT scores and Predictions,  where higher values are deleterious, using ANNOVAR's ljb26_sift
Variant Effect Scoring Tool (VEST)	ANNOVAR	20140925 	Variant Effect Scoring Tool scores for prioritizing missense mutations, using ANNOVAR's ljb26_vest
Combined Annotation Dependent Depletion (CADD) 	ANNOVAR	20140925 	Combined Annotation Dependent Depletion Raw Scores (Phred Scores) downloaded from ANNOVAR's ljb26_cadd
Functional Analysis through Hidden Markov Models (FATHMM)	ANNOVAR	20140925	Scores for predicting functional consequences of both coding and non-coding variants downloaded from ANNOVAR's ljb26_fathmm
COSMIC v70	ANNOVAR	v70	COSMIC db ID and occurrence, using ANNOVAR's cosmic70 database
Ensembl ANNOVAR annot	AVIA	v2.0	annotation based on gene annotations
Ensembl Annot Feat	AVIA	v2.0	Annotations, if coding, then it reports transcript and protein annotation, if intronic or UTR, distance from nearest feature, and if intergenic, reports nearest gene
Ensembl Gene	AVIA	v2.0	Gene or nearest gene, if intergenic; may also display intronic splice variants
